site,etag,modified
feed://rss.cnn.com/rss/cnn_topstories.rss,MUW0AEww6qErnkCSxAMt+UQi028,"Fri, 13 Dec 2013 01:23:42 GMT"
feed://rss.cnn.com/rss/cnn_world.rss,+oIfGpHfEkZ0n8HC+Vj/ZtXFLkQ,"Thu, 12 Dec 2013 22:17:56 GMT"
feed://rss.cnn.com/rss/cnn_us.rss,+lrRI6SByEBgwN5SeUK4hh72wEQ,"Thu, 12 Dec 2013 23:31:43 GMT"
feed://feeds.bbci.co.uk/news/rss.xml,,"Fri, 13 Dec 2013 01:21:23 GMT"
feed://feeds.bbci.co.uk/news/world/rss.xml,,"Fri, 13 Dec 2013 01:19:11 GMT"
feed://feeds.theguardian.com/theguardian/uk/rss,1386896880000,"Fri, 13 Dec 2013 01:08:00 GMT"
feed://feeds.theguardian.com/theguardian/us/rss,1386896880000,"Fri, 13 Dec 2013 01:08:00 GMT"
feed://www.cnbc.com/id/100003114/device/rss/rss.html,,"Fri, 13 Dec 2013 01:14:00 EST"
feed://www.cnbc.com/id/100727362/device/rss/rss.html,,"Fri, 13 Dec 2013 00:51:00 EST"
feed://feeds.nbcnews.com/feeds/topstories,1386896925000,"Fri, 13 Dec 2013 01:08:45 GMT"
feed://rss.nytimes.com/services/xml/rss/nyt/US.xml,1386897003000,"Fri, 13 Dec 2013 01:10:03 GMT"
feed://rss.nytimes.com/services/xml/rss/nyt/World.xml,1386897461000,"Fri, 13 Dec 2013 01:17:41 GMT"
